protein,drug,value
CIRP1,6,5.1
CIRP1,11,0
CIRP1,19,0
CIRP1,36,0
CIRP1,38,0
CIRP1,44,0
CIRP1,47,0
CIRP1,49,0
CIRP1,51,0
CIRP1,58,0
CIRP1,70,0
CIRP1,72,0
CIRP1,86,0
CIRP1,96,0
CIRP1,107,5.6
CIRP1,126,0
CIRP1,135,5
CIRP1,171,0
CIRP1,175,0
CIRP1,176,0
CIRP1,178,0
CIRP1,186,0
CIRP1,187,0
CIRP1,190,0
CIRP1,199,0
CIRP1,204,0
CIRP1,218,5.1
CIRP1,237,6.4
CIRP1,239,0
CIRP1,243,5.2
CIRP1,244,0
CIRP1,247,0
CIRP1,248,0
CIRP1,249,0
CIRP1,254,6.5
CIRP1,255,6.8
CIRP1,263,0
CIRP1,264,0
CIRP1,273,0
CIRP1,284,0
CIRP1,286,0
CIRP1,289,0
CIRP1,305,0
CIRP1,311,0
CIRP1,313,0
CIRP1,321,6.5
CIRP1,323,6.1
CIRP1,332,5.4
CIRP1,338,0
CIRP1,340,0
CIRP1,342,5
CIRP1,359,0
CIRP1,378,5
CIRP1,379,0
CIRP1,385,0
CIRP1,397,6
CIRP1,403,0
CIRP1,444,5.8
CIRP1,457,0
CIRP1,460,0
CIRP1,473,0
CIRP1,487,0
CIRP1,490,0
CIRP1,525,0
CIRP1,529,0
CIRP1,535,0
CIRP1,546,0
CIRP1,547,5.1
CIRP1,572,0
CIRP1,587,0
CIRP1,588,0
CIRP1,598,0
CIRP1,612,0
CIRP1,647,0
CIRP1,649,0
CIRP1,668,0
CIRP1,670,0
CIRP1,673,0
CIRP1,675,5.3
CIRP1,679,0
CIRP1,681,0
CIRP1,700,0
CIRP1,702,0
CIRP1,712,0
CIRP1,735,7.2
CIRP1,743,0
CIRP1,750,0
CIRP1,753,0
CIRP1,760,0
CIRP1,763,0
CIRP1,764,0
CIRP1,774,0
CIRP1,777,0
CIRP1,780,5.1
CIRP1,784,0
CIRP1,785,0
CIRP1,790,0
CIRP1,795,0
CIRP1,798,5.3
CIRP1,802,5.8
CIRP1,807,0
CIRP1,863,0
CIRP1,867,0
CIRP1,880,0
CIRP1,896,6.3
CIRP1,903,6.2
CIRP1,936,0
CIRP1,938,0
CIRP1,943,0
CIRP1,944,0
CIRP1,946,0
CIRP1,948,0
CIRP1,955,5.4
CIRP1,957,0
CIRP1,962,0
CIRP1,964,0
CIRP1,967,0
CIRP1,974,0
CIRP1,978,5
CIRP1,979,5.4
CIRP1,980,5
CIRP1,983,0
CIRP1,984,5.6
CIRP1,985,5.9
CIRP1,996,0
CIRP1,997,5.5
CIRP1,998,5.3
CIRP1,999,5.3
CIRP1,1001,5.1
CIRP1,1003,0
CIRP1,1004,0
CIRP1,1005,0
CIRP1,1014,0
CIRP1,1017,5.1
CIRP1,1021,0
CIRP1,1023,0
CIRP1,1024,6.3
CIRP1,1030,0
CIRP1,1031,0
CIRP1,1032,0
CIRP1,1045,0
CIRP1,1046,0
CIRP1,1048,0
CIRP1,1050,0
CIRP1,1051,0
CIRP1,1053,0
CIRP1,1054,0
CIRP1,1055,0
CIRP1,1060,0
CIRP1,1061,0
CIRP1,1066,0
CIRP1,1082,0
CIRP1,1102,0
CIRP1,1103,0
CIRP1,1110,0
CIRP1,1117,0
CIRP1,1130,5.2
CIRP1,1133,0
CIRP1,1135,0
CIRP1,1136,0
CIRP1,1137,0
CIRP1,1140,0
CIRP1,1150,5.5
CIRP1,1174,0
CIRP1,1175,5.1
CIRP1,1176,0
CIRP1,1188,0
CIRP1,1195,0
CIRP1,1234,6.9
CIRP1,1238,7.3
CIRP1,1282,7.6
CIRP1,1290,5.8
CIRP1,1292,5.3
CIRP1,1318,6.3
CIRP1,1329,6.7
CIRP1,1331,5.9
CIRP1,1337,5.6
CIRP1,1355,6.1
CIRP1,1360,6.2
CIRP1,1369,7.2
CIRP1,1372,7.1
CIRP1,1385,6.9
CIRP1,1387,5.4
CIRP1,1396,7.6
CIRP1,1400,7.1
CIRP1,1433,5.5
CIRP1,1478,6.2
CIRP1,1483,0
CIRP1,1491,0
CIRP1,1493,5.1
CIRP1,1498,7.5
CIRP1,1507,7.1
CIRP1,1509,6.6
CIRP1,1511,7.2
CIRP1,1514,6.9
CIRP1,1521,5.5
CIRP1,1522,5.5
CIRP1,1530,7.3
CIRP1,1536,7.4
CIRP1,1540,8.3
CIRP1,1543,8.2
CIRP1,1567,0
CIRP1,1576,5.5
CIRP1,1584,7.9
CIRP1,1604,6.8
CIRP1,1609,6.4
CIRP1,1613,8.7
CIRP1,1614,5.8
CIRP1,1615,5.9
CIRP1,1616,5.5
CIRP1,1628,6.5
CIRP1,1629,0
CIRP1,1633,7.6
CIRP1,1646,0
CIRP1,1649,5.5
CIRP1,1662,0
CIRP1,1667,5.6
CIRP1,1673,0
CIRP1,1676,5.3
CIRP1,1682,0
CIRP1,1684,7.9
CIRP1,1694,5.5
CIRP1,1698,0
CIRP1,1700,7.6
CIRP1,1701,5.3
CIRP1,1708,6.3
CIRP1,1712,8.6
CIRP1,1714,6.9
CIRP1,1715,8
CIRP1,1720,6.9
CIRP1,1722,5
CIRP1,1723,8.1
CIRP1,1727,0
CIRP1,1746,5.3
CIRP1,1750,5.8
CIRP1,1755,0
CIRP1,1757,6.2
CIRP1,1758,5.6
CIRP1,1759,5.9
CIRP1,1775,7.7
CIRP1,1779,5.9
CIRP1,1783,6.7
CIRP1,1786,7.3
CIRP1,1788,7.3
CIRP1,1792,5.7
CIRP1,1800,5.3
CIRP1,1808,0
CIRP1,1819,6.4
CIRP1,1829,5.4
CIRP1,1832,6
CIRP1,1836,9
CIRP1,1854,6.6
CIRP1,1855,5.2
CIRP1,1865,5.3
CIRP1,1881,6.8
CIRP1,1893,5.2
CIRP1,1894,5.7
CIRP1,1923,5.3
CIRP1,1933,8.5
CIRP1,1935,6.5
CIRP1,1941,6.9
CIRP1,1944,8
CIRP1,1948,7.2
CIRP1,1949,7.4
CIRP1,1950,5.8
CIRP1,1978,5.8
CIRP1,1979,0
CIRP1,1981,7.2
CIRP1,1983,5.3
CIRP1,1986,0
CIRP1,1989,7.8
CIRP1,1990,0
CIRP1,1993,0
CIRP1,2014,6.8
CIRP1,2017,6.4
CIRP1,2022,0
CIRP1,2081,5.9
CIRP1,2082,6
CIRP1,2083,5.8
CIRP1,2084,5.3
CIRP1,2092,6.9
CIRP1,2094,0
CIRP1,2097,6.3
CIRP1,2099,8.1
CIRP1,2116,7.9
CIRP1,2118,8.5
CIRP1,2119,5.7
CIRP1,2120,6.7
CIRP1,2123,0
CIRP1,2130,5.4
CIRP1,2136,6.7
CIRP1,2138,5.8
CIRP1,2140,5.3
CIRP1,2144,5.5
CIRP1,2145,6.4
CIRP1,2146,0
CIRP1,2148,5.5
CIRP1,2149,0
CIRP1,2153,0
CIRP1,2157,6.4
CIRP1,2159,6.8
CIRP1,2160,8.2
CIRP1,2161,7.2
CIRP1,2162,6.4
CIRP1,2164,6
CIRP1,2165,7.2
CIRP1,2170,7.4
CIRP1,2179,7.1
CIRP1,2182,6.3
CIRP1,2187,6.8
CIRP1,2194,5.9
CIRP1,2196,6.2
CIRP1,2197,7.8
CIRP1,2200,6.8
CIRP1,2202,6.8
CIRP1,2206,6.3
CIRP1,2214,5.4
CIRP1,2216,5.5
CIRP1,2218,6.6
CIRP1,2225,5.6
CIRP1,2230,0
CIRP1,2239,5.5
CIRP1,2244,5.1
CIRP1,2247,8.5
CIRP1,2249,6.2
CIRP1,2256,5.1
CIRP1,2265,5.6
CIRP1,2266,0
CIRP1,2267,9.1
CIRP1,2273,6.3
CIRP1,2280,7.5
CIRP1,2281,7.4
CIRP1,2284,5.4
CIRP1,2286,7.1
CIRP1,2292,5.6
CIRP1,2294,5.4
CIRP1,2309,5.9
CIRP1,2310,5.1
CIRP1,2312,6.6
CIRP1,2313,6.9
CIRP1,2315,7.8
CIRP1,2318,7.9
CIRP1,2326,7.8
CIRP1,2327,5
CIRP1,2333,7.4
CIRP1,2334,0
CIRP1,2335,7
CIRP1,2337,5.2
CIRP1,2342,6.5
CIRP1,2343,7
CIRP1,2345,7.5
CIRP1,2350,7.1
CIRP1,2351,6.5
CIRP1,2353,7.9
CIRP1,2354,6.9
CIRP1,2355,6
CIRP1,2361,8.8
CIRP1,2365,0
CIRP1,2366,0
CIRP1,2368,6
CIRP1,2369,6.4
CIRP1,2370,0
CIRP1,2372,6.9
CIRP1,2374,5.8
CIRP1,2375,7.6
CIRP1,2377,6.5
CIRP1,2378,8.5
CIRP1,2381,7.1
CIRP1,2384,7.4
CIRP1,2391,7.8
CIRP1,2396,7.8
CIRP1,2398,7.6
CIRP1,2403,7.3
CIRP1,2405,6.1
CIRP1,2406,6.5
CIRP1,2429,6.7
CIRP1,2431,5
CIRP1,2435,5.8
CIRP1,2441,7.1
CIRP1,2442,6.3
CIRP1,2444,6.5
CIRP1,2446,5.2
CIRP1,2447,0
CIRP1,2448,8
CIRP1,2449,7
CIRP1,2450,0
CIRP1,2451,7.6
CIRP1,2453,5.5
CIRP1,2466,6.1
CIRP1,2467,6.1
CIRP1,2468,0
CIRP1,2471,6.5
CIRP1,2472,6.6
CIRP1,2474,6.9
CIRP1,2475,5.8
CIRP1,2477,7.5
CIRP1,2478,0
CIRP1,2479,5.8
CIRP1,2480,5.9
CIRP1,2481,5.6
CIRP1,2482,5.8
CIRP1,2484,8.5
CIRP1,2515,5.5
CIRP1,2519,5
CIRP1,2520,7.6
CIRP1,2526,0
CIRP1,2528,5.1
CIRP1,2536,8.3
CIRP1,2537,5.6
CIRP1,2540,7.9
CIRP1,2541,7.8
CIRP1,2543,8
CIRP1,2551,0
CIRP1,2554,8.2
CIRP1,2562,6.3
CIRP1,2564,6.5
CIRP1,2569,5.2
CIRP1,2576,0
CIRP1,2577,6.2
CIRP1,2578,0
CIRP1,2581,7
CIRP1,2583,6.4
CIRP1,2585,7.5
CIRP1,2605,9.5
CIRP1,2608,5.8
CIRP1,2662,7.6
CIRP1,2663,5.9
CIRP1,2678,7.4
CIRP1,2681,5.7
CIRP1,2682,5.6
CIRP1,2683,6.2
CIRP1,2707,0
CIRP1,2708,5.9
CIRP1,2710,8
CIRP1,2717,7.1
CIRP1,2719,6.4
CIRP1,2720,5.5
CIRP1,2722,5.8
CIRP1,2723,5.2
CIRP1,2724,5.3
CIRP1,2725,6.8
CIRP1,2726,6
CIRP1,2727,6.1
CIRP1,2732,7.2
CIRP1,2733,5.4
CIRP1,2746,7
CIRP1,2747,7.9
CIRP1,2749,6.9
CIRP1,2750,7.8
CIRP1,2754,8.1
CIRP1,2756,0
CIRP1,2761,8.5
CIRP1,2762,5.9
CIRP1,2763,6.1
CIRP1,2765,6.2
CIRP1,2771,7.2
CIRP1,2780,7.5
CIRP1,2782,6.9
CIRP1,2783,5.8
CIRP1,2787,7.1
CIRP1,2788,5.7
CIRP1,2789,7.4
CIRP1,2793,9.6
CIRP1,2794,9.3
CIRP1,2795,6.8
CIRP1,2796,5.7
CIRP1,2799,8.3
CIRP1,2800,7.8
CIRP1,2801,7.1
CIRP1,2802,7.5
CIRP1,2803,5.6
CIRP1,2805,7.7
CIRP1,2809,7.3
CIRP1,2811,7.5
CIRP1,2812,6.9
CIRP1,2816,6.9
CIRP1,2817,5.6
CIRP1,2833,6.3
CIRP1,2856,6.7
CIRP1,2871,6.2
CIRP1,2879,0
CIRP1,2882,7.9
CIRP1,2883,6
CIRP1,2893,7.5
CIRP1,2895,7.7
CIRP1,2898,7.2
CIRP1,2904,6.9
CIRP1,2905,6
CIRP1,2907,0
CIRP1,2910,7.1
CIRP1,2911,7
CIRP1,2912,8.2
CIRP1,2913,9.1
CIRP1,2929,8.9
CIRP1,2950,6.7
CIRP1,2955,6.6
CIRP1,2966,6
CIRP1,2968,5.2
CIRP1,2969,0
CIRP1,2971,6.6
CIRP1,2972,0
CIRP1,2993,8.3
CIRP1,2995,6.9
CIRP1,2997,7.9
CIRP1,2998,6.5
CIRP1,3007,5.4
CIRP1,3009,0
CIRP1,3016,7.3
CIRP1,3019,5.9
CIRP1,3022,6.6
CIRP1,3025,6.4
CIRP1,3026,5.3
CIRP1,3033,6
CIRP1,3036,7.8
CIRP1,3037,7
CIRP1,3038,0
CIRP1,3039,0
CIRP1,3042,6.7
CIRP1,3045,5
CIRP1,3050,5.5
CIRP1,3052,5.1
CIRP1,3055,7.5
CIRP1,3059,7.4
CIRP1,3071,7.5
CIRP1,3072,0
CIRP1,3073,0
CIRP1,3078,7.3
CIRP1,3080,0
CIRP1,3089,6.9
CIRP1,3092,5.5
CIRP1,3100,6.4
CIRP1,3102,7.1
CIRP1,3103,7.4
CIRP1,3105,5.7
CIRP1,3108,5.7
CIRP1,3109,5.7
CIRP1,3111,5.8
CIRP1,3114,7
CIRP1,3116,6.8
CIRP1,3117,0
CIRP1,3121,0
CIRP1,3149,5.8
CIRP1,3151,8.3
CIRP1,3152,7.8
CIRP1,3156,7.2
CIRP1,3157,8.3
CIRP1,3158,7.6
CIRP1,3162,6.5
CIRP1,3168,8.6
CIRP1,3169,5.8
CIRP1,3180,7
CIRP1,3182,5
CIRP1,3191,8.3
CIRP1,3198,7.5
CIRP1,3202,5
CIRP1,3219,6.5
CIRP1,3220,7.1
CIRP1,3226,0
CIRP1,3229,6.5
CIRP1,3236,7.6
CIRP1,3241,8
CIRP1,3242,5.9
CIRP1,3245,7.4
CIRP1,3261,8.2
CIRP1,3275,7
CIRP1,3276,0
CIRP1,3278,6.1
CIRP1,3282,5.1
CIRP1,3283,0
CIRP1,3284,5.6
CIRP1,3290,6.7
CIRP1,3291,5.1
CIRP1,3292,6.1
CIRP1,3295,5.3
CIRP1,3299,7.8
CIRP1,3301,0
CIRP1,3305,0
CIRP1,3306,5.3
CIRP1,3307,7.4
CIRP1,3308,7.2
CIRP1,3311,5.8
CIRP1,3312,7.7
CIRP1,3314,5.5
CIRP1,3324,5.7
CIRP1,3325,5.3
CIRP1,3331,5.8
CIRP1,3332,7.1
CIRP1,3333,6.3
CIRP1,3334,7.1
CIRP1,3335,6.9
CIRP1,3336,8.6
CIRP1,3337,6.5
CIRP1,3339,8
CIRP1,3341,6.6
CIRP1,3342,7.4
CIRP1,3343,7
CIRP1,3344,7.3
CIRP1,3345,7.7
CIRP1,3346,5.3
CIRP1,3348,8.5
CIRP1,3351,8.3
CIRP1,3354,8.3
CIRP1,3356,7.2
CIRP1,3357,6.7
CIRP1,3360,7.3
CIRP1,3365,6.2
CIRP1,3366,0
CIRP1,3369,7.5
CIRP1,3371,7.4
CIRP1,3372,7.7
CIRP1,3373,6.9
CIRP1,3374,6.8
CIRP1,3380,7.4
CIRP1,3385,0
CIRP1,3386,7.2
CIRP1,3393,6.9
CIRP1,3394,7
CIRP1,3395,8
CIRP1,3396,8.7
CIRP1,3397,6.5
CIRP1,3401,7.7
CIRP1,3406,0
CIRP1,3407,7.9
CIRP1,3410,7.1
CIRP1,3415,0
CIRP1,3440,6
CIRP1,3447,6.4
CIRP1,3454,0
CIRP1,3455,8.4
CIRP1,3457,7.2
CIRP1,3463,6.7
CIRP1,3468,7.7
CIRP1,3478,8.5
CIRP1,3485,0
CIRP1,3487,6.7
CIRP1,3488,8.3
CIRP1,3494,6.9
CIRP1,3503,6.4
CIRP1,3515,7.5
CIRP1,3516,5.2
CIRP1,3517,5.9
CIRP1,3518,5.6
CIRP1,3519,6.1
CIRP1,3520,0
CIRP1,3532,0
CIRP1,3534,7.5
CIRP1,3537,8.3
CIRP1,3540,5.6
CIRP1,3542,7
CIRP1,3547,7
CIRP1,3559,8
CIRP1,3561,5.3
CIRP1,3562,0
CIRP1,3563,6.7
CIRP1,3572,5.9
CIRP1,3590,0
CIRP1,3598,7.2
CIRP1,3601,9.2
CIRP1,3604,0
CIRP1,3607,5.8
CIRP1,3608,7
CIRP1,3609,6.2
CIRP1,3610,5.6
CIRP1,3627,7.6
CIRP1,3634,6.9
CIRP1,3637,5.6
CIRP1,3639,5.3
CIRP1,3647,6.3
CIRP1,3651,5.3
CIRP1,3652,6.4
CIRP1,3657,0
CIRP1,3658,7
CIRP1,3671,6.5
CIRP1,3672,6.4
CIRP1,3675,5.2
CIRP1,3676,5.7
CIRP1,3677,5.8
CIRP1,3678,7.3
CIRP1,3689,8.3
CIRP1,3690,0
CIRP1,3696,7
CIRP1,3698,5.9
CIRP1,3699,5.1
CIRP1,3702,7.9
CIRP1,3710,7.3
CIRP1,3711,7.1
CIRP1,3712,5.5
CIRP1,3713,6.3
CIRP1,3715,7.1
CIRP1,3718,7.2
CIRP1,3723,5.2
CIRP1,3728,5.2
CIRP1,3730,0
CIRP1,3731,0
CIRP1,3735,5.5
CIRP1,3737,5.5
CIRP1,3739,6.8
CIRP1,3741,0
CIRP1,3742,5.3
CIRP1,3743,0
CIRP1,3744,5.9
CIRP1,3747,7.8
CIRP1,3748,5.3
CIRP1,3749,8.3
CIRP1,3752,6.4
CIRP1,3758,5.8
CIRP1,3759,6.9
CIRP1,3760,7
CIRP1,3762,5.5
CIRP1,3763,0
CIRP1,3764,6.9
CIRP1,3767,0
CIRP1,3775,6.7
CIRP1,3776,0
CIRP1,3778,6.4
CIRP1,3779,5.6
CIRP1,3781,5.9
CIRP1,3784,6.3
CIRP1,3792,7.1
CIRP1,3815,8.9
CIRP1,3821,6.6
CIRP1,3822,8.4
CIRP1,3823,8.3
CIRP1,3824,7.2
CIRP1,3825,7.7
CIRP1,3826,6.8
CIRP1,3827,8.1
CIRP1,3830,5.5
CIRP1,3840,0
CIRP1,3845,6
CIRP1,3869,7.6
CIRP1,3878,6.1
CIRP1,3883,7.5
CIRP1,3885,7.4
CIRP1,3893,5.4
CIRP1,3899,6.7
CIRP1,3902,7.9
CIRP1,3922,8.7
CIRP1,3926,8.9
CIRP1,3932,7.1
CIRP1,3947,8.5
CIRP1,3948,6.6
CIRP1,3949,7.4
CIRP1,3950,5.2
CIRP1,3955,8
CIRP1,3957,8.3
CIRP1,3958,7.2
CIRP1,3961,7.7
CIRP1,3964,7.2
CIRP1,3965,7.3
CIRP1,3973,8.2
CIRP1,3991,5.7
CIRP1,3994,6.6
CIRP1,3998,0
CIRP1,4004,0
CIRP1,4008,7.8
CIRP1,4011,7.4
CIRP1,4020,7.3
CIRP1,4021,6
CIRP1,4026,0
CIRP1,4030,7.9
CIRP1,4031,6.8
CIRP1,4032,5.4
CIRP1,4033,0
CIRP1,4034,8.6
CIRP1,4037,6.9
CIRP1,4039,5.6
CIRP1,4041,7.6
CIRP1,4044,6.8
CIRP1,4046,7.8
CIRP1,4047,5.8
CIRP1,4054,6.6
CIRP1,4055,6.2
CIRP1,4057,7.3
CIRP1,4058,6.5
CIRP1,4059,5.1
CIRP1,4060,6.6
CIRP1,4062,6.4
CIRP1,4064,0
CIRP1,4066,7.1
CIRP1,4075,0
CIRP1,4078,7
CIRP1,4086,5.3
CIRP1,4091,0
CIRP1,4095,6.5
CIRP1,4097,6.6
CIRP1,4098,5.2
CIRP1,4099,5.4
CIRP1,4101,0
CIRP1,4107,5.2
CIRP1,4113,0
CIRP1,4114,6.1
CIRP1,4116,0
CIRP1,4117,5.6
CIRP1,4121,5.5
CIRP1,4122,7
CIRP1,4133,5.1
CIRP1,4134,6.7
CIRP1,4139,6.4
CIRP1,4158,6.3
CIRP1,4161,0
CIRP1,4162,5.4
CIRP1,4165,5.7
CIRP1,4167,7.6
CIRP1,4168,5.4
CIRP1,4170,7.3
CIRP1,4171,5.7
CIRP1,4173,0
CIRP1,4174,6.3
CIRP1,4177,6.4
CIRP1,4178,5.3
CIRP1,4184,8.4
CIRP1,4189,7.3
CIRP1,4192,7.6
CIRP1,4195,5.5
CIRP1,4197,6.7
CIRP1,4199,7.4
CIRP1,4205,7.9
CIRP1,4211,6.9
CIRP1,4212,5.3
CIRP1,4235,6.4
CIRP1,4236,6.6
CIRP1,4238,5.1
CIRP1,4249,8
CIRP1,4257,9.8
CIRP1,4260,5.7
CIRP1,4261,7.7
CIRP1,4266,0
CIRP1,4282,0
CIRP1,4284,6.3
CIRP1,4286,7.9
CIRP1,4288,7.2
CIRP1,4290,7.4
CIRP1,4293,5.7
CIRP1,4300,7.2
CIRP1,4310,7.8
CIRP1,4316,6.8
CIRP1,4324,5.3
CIRP1,4327,8.8
CIRP1,4347,7.3
CIRP1,4354,0
CIRP1,4357,6
CIRP1,4358,7.6
CIRP1,4359,6.6
CIRP1,4362,0
CIRP1,4368,6
CIRP1,4369,8
CIRP1,4380,5.4
CIRP1,4382,0
CIRP1,4409,7
CIRP1,4410,7
CIRP1,4413,8.3
CIRP1,4417,6.2
CIRP1,4418,7.7
CIRP1,4421,6
CIRP1,4436,7.3
CIRP1,4437,6.6
CIRP1,4440,7.9
CIRP1,4447,7.7
CIRP1,4449,7.5
CIRP1,4450,7.3
CIRP1,4456,5.3
CIRP1,4462,6.1
CIRP1,4463,6.9
CIRP1,4472,7.2
CIRP1,4474,7
CIRP1,4477,7
CIRP1,4485,6.1
CIRP1,4486,6.9
CIRP1,4487,7.2
CIRP1,4488,7
CIRP1,4493,6.9
CIRP1,4494,6.2
CIRP1,4495,6.5
CIRP1,4497,6
CIRP1,4499,6
CIRP1,4500,6
CIRP1,4506,7.6
CIRP1,4507,5.6
CIRP1,4510,0
CIRP1,4513,0
CIRP1,4514,6.5
CIRP1,4528,7.5
CIRP1,4538,5
CIRP1,4543,8.1
CIRP1,4553,6.2
CIRP1,4564,6.8
CIRP1,4565,8.5
CIRP1,4566,7.5
CIRP1,4567,7.8
CIRP1,4578,6.9
CIRP1,4581,0
CIRP1,4583,6.8
CIRP1,4592,6.6
CIRP1,4594,7.1
CIRP1,4595,7
CIRP1,4601,6.6
CIRP1,4602,6.4
CIRP1,4604,0
CIRP1,4612,5.8
CIRP1,4614,6.9
CIRP1,4615,8.6
CIRP1,4616,7.5
CIRP1,4617,6.6
CIRP1,4619,5.6
CIRP1,4621,6.8
CIRP1,4622,6.2
CIRP1,4626,0
CIRP1,4628,6.1
CIRP1,4631,5.1
CIRP1,4632,6.9
CIRP1,4633,5.9
CIRP1,4634,6.5
CIRP1,4636,6.8
CIRP1,4640,7.9
CIRP1,4641,6.9
CIRP1,4642,6.9
CIRP1,4644,0
CIRP1,4661,5.7
CIRP1,4679,6.8
CIRP1,4680,7
CIRP1,4684,0
CIRP1,4688,5.7
CIRP1,4695,6.3
CIRP1,4696,5
CIRP1,4708,7.9
CIRP1,4723,6.4
CIRP1,4725,5.2
CIRP1,4735,7.3
CIRP1,4737,6
CIRP1,4740,5.9
CIRP1,4744,6.8
CIRP1,4746,7.2
CIRP1,4747,7.7
CIRP1,4748,6.6
CIRP1,4753,6.1
CIRP1,4754,5.4
CIRP1,4760,7.6
CIRP1,4761,6.4
CIRP1,4762,6.1
CIRP1,4763,6.5
CIRP1,4764,8.2
CIRP1,4765,0
CIRP1,4766,8.3
CIRP1,4767,8.4
CIRP1,4768,7.2
CIRP1,4770,5.7
CIRP1,4771,5.6
CIRP1,4775,5.5
CIRP1,4781,7
CIRP1,4788,6.5
CIRP1,4797,0
CIRP1,4806,6.9
CIRP1,4810,5.5
CIRP1,4814,8.3
CIRP1,4820,6.9
CIRP1,4822,8.1
CIRP1,4823,7.5
CIRP1,4826,5.8
CIRP1,4828,5.8
CIRP1,4829,7.8
CIRP1,4830,8.2
CIRP1,4832,7.4
CIRP1,4837,0
CIRP1,4839,7.5
CIRP1,4842,5.3
CIRP1,4843,0
CIRP1,4845,5.3
CIRP1,4846,7.5
CIRP1,4848,7.2
CIRP1,4849,5.7
CIRP1,4850,7.3
CIRP1,4855,6.6
CIRP1,4858,7.6
CIRP1,4870,6.2
CIRP1,4874,0
CIRP1,4883,6.1
CIRP1,4886,6.3
CIRP1,4887,8.9
CIRP1,4888,7.3
CIRP1,4890,7.9
CIRP1,4891,8.4
CIRP1,4893,6.7
CIRP1,4904,7.5
CIRP1,4905,7.6
CIRP1,4906,6
CIRP1,4908,5.7
CIRP1,4909,6.4
CIRP1,4911,6
CIRP1,4912,6.4
CIRP1,4913,5.9
CIRP1,4914,5.6
CIRP1,4915,5.9
CIRP1,4917,7.4
CIRP1,4919,6.9
CIRP1,4922,6
CIRP1,4923,6
CIRP1,4926,5.8
CIRP1,4927,6.1
CIRP1,4932,6.6
CIRP1,4934,7.1
CIRP1,4935,5.6
CIRP1,4938,6.3
CIRP1,4940,6.4
CIRP1,4942,7.2
CIRP1,4943,5.4
CIRP1,4946,6.7
CIRP1,4947,5.1
CIRP1,4949,5.1
CIRP1,4967,5.2
CIRP1,4969,7.5
CIRP1,4976,7.4
CIRP1,4977,5.3
CIRP1,4991,5.1
CIRP1,4992,6.4
CIRP1,4993,6.9
CIRP1,4994,5
CIRP1,4996,6.3
CIRP1,4999,7.4
CIRP1,5002,6.7
CIRP1,5004,6.4
CIRP1,5029,6.8
CIRP1,5035,8.5
CIRP1,5039,5.3
CIRP1,5042,8.3
CIRP1,5054,0
CIRP1,5055,5
CIRP1,5070,5.8
CIRP1,5071,6
CIRP1,5073,9.3
CIRP1,5074,8.9
CIRP1,5078,6.8
CIRP1,5090,7.6
CIRP1,5092,7
CIRP1,5095,5.7
CIRP1,5105,6.7
CIRP1,5111,7.5
CIRP1,5139,0
CIRP1,5143,5.6
CIRP1,5147,5
CIRP1,5160,6.8
CIRP1,5161,6.4
CIRP1,5164,7.4
CIRP1,5171,6.9
CIRP1,5172,7.2
CIRP1,5189,6.8
CIRP1,5192,0
CIRP1,5193,5.8
CIRP1,5202,5.4
CIRP1,5205,8.8
CIRP1,5206,5.1
CIRP1,5210,6
CIRP1,5212,8.4
CIRP1,5215,6
CIRP1,5217,6.8
CIRP1,5219,0
CIRP1,5226,5.5
CIRP1,5227,0
CIRP1,5241,5.4
CIRP1,5243,7.3
CIRP1,5245,0
CIRP1,5253,6
CIRP1,5291,9.1
CIRP1,5311,6.8
CIRP1,5314,0
CIRP1,5315,6
CIRP1,5318,7.3
CIRP1,5319,6.9
CIRP1,5320,5.7
CIRP1,5322,6.6
CIRP1,5323,6.5
CIRP1,5324,5.5
CIRP1,5325,6.4
CIRP1,5326,6.3
CIRP1,5327,6.8
CIRP1,5328,5.7
CIRP1,5329,6.1
CIRP1,5330,6.2
CIRP1,5333,0
CIRP1,5334,7.2
CIRP1,5335,7.5
CIRP1,5336,6.1
CIRP1,5338,7.5
CIRP1,5340,5.3
CIRP1,5341,5.1
CIRP1,5342,8.3
CIRP1,5343,6.5
CIRP1,5344,6.1
CIRP1,5345,7.2
CIRP1,5351,6.7
CIRP1,5355,6.4
CIRP1,5356,5.5
CIRP1,5357,6.8
CIRP1,5358,6.2
CIRP1,5359,6.9
CIRP1,5362,6.1
CIRP1,5379,6.6
CIRP1,5381,8.1
CIRP1,5386,5.8
CIRP1,5391,7.2
CIRP1,5392,5.9
CIRP1,5394,5
CIRP1,5401,7.3
CIRP1,5403,5.3
CIRP1,5405,8.6
CIRP1,5411,5.9
CIRP1,5413,0
CIRP1,5419,6.8
CIRP1,5426,7
CIRP1,5429,5.1
CIRP1,5430,6
CIRP1,5437,0
CIRP1,5438,0
CIRP1,5440,6.7
CIRP1,5443,0
CIRP1,5452,7.3
CIRP1,5453,0
CIRP1,5455,0
CIRP1,5457,6
CIRP1,5467,5.6
CIRP1,5468,6.7
CIRP1,5472,6.4
CIRP1,5476,5.9
CIRP1,5479,5.1
CIRP1,5480,6.6
CIRP1,5482,6.6
CIRP1,5483,0
CIRP1,5484,6.4
CIRP1,5487,6.2
CIRP1,5497,5.1
CIRP1,5502,7.2
CIRP1,5503,7.2
CIRP1,5504,5.7
CIRP1,5505,6.5
CIRP1,5509,6.7
CIRP1,5510,8.3
CIRP1,5511,7.4
CIRP1,5524,7
CIRP1,5530,5.6
