,0,1,2,3
1775,8.649324613425673e-08,1.5865525970581643e-11,7.27757673456382e-15,1.771666825769279e-18
1779,8.886849634481877e-08,1.6103050991637897e-11,7.457614344294515e-15,1.8052990975048473e-18
1783,7.120515348405149e-08,1.4336716705560935e-11,6.118780223002734e-15,1.5551956161073267e-18
1786,1.0174330490387494e-07,1.739053184754369e-11,8.433490379756078e-15,1.987599496038051e-18
1788,1.0023422523051851e-07,1.7239623880208023e-11,8.319106178851226e-15,1.966231735530444e-18
1792,7.718139428598075e-08,1.4934340785753916e-11,6.571763283216705e-15,1.6398159873481683e-18
1800,8.478211107122138e-08,1.5694412464278077e-11,7.147877275826655e-15,1.74743806908489e-18
1808,7.925869753767306e-08,1.514207111092317e-11,6.729217310778688e-15,1.669229489608864e-18
1819,9.672993358940268e-08,1.6889194716096392e-11,8.05349025002814e-15,1.9166128414069573e-18
1829,7.667581321091576e-08,1.4883782678247403e-11,6.5334415906745846e-15,1.632657229914811e-18
1832,9.29435153655724e-08,1.6510552893713323e-11,7.766489881213204e-15,1.8629991858678124e-18
1836,1.069022237664858e-07,1.7906423733804813e-11,8.824522624143985e-15,2.060647026053e-18
1854,9.778608653098929e-08,1.6994810010255067e-11,8.133543816708286e-15,1.931567401801398e-18
1855,8.047893282519644e-08,1.5264094639675527e-11,6.82170788019232e-15,1.6865073682040622e-18
1865,8.529871695924658e-08,1.5746073053080615e-11,7.187034619688475e-15,1.754752931969225e-18
1881,8.8308830242748e-08,1.6047084381430803e-11,7.415193151438268e-15,1.7973745250356675e-18
1893,9.127400863015948e-08,1.6343602220172018e-11,7.63994573831132e-15,1.839359864022864e-18
1894,9.137539690737502e-08,1.635374104789358e-11,7.64763069840665e-15,1.8407954677647138e-18
1923,9.211042408247615e-08,1.6427243765403695e-11,7.703343791327933e-15,1.8512030591738623e-18
1933,1.0802081178433001e-07,1.8018282535589246e-11,8.909308602526612e-15,2.076485633711676e-18
1935,8.752495525328373e-08,1.596869688248436e-11,7.355777524906246e-15,1.786275274718735e-18
1941,7.406528291171131e-08,1.4622729648326918e-11,6.335570379840314e-15,1.5956935180471717e-18
1944,8.950352975800015e-08,1.6166554332956054e-11,7.50574817764809e-15,1.8142908307623838e-18
1948,8.236204894702923e-08,1.5452406251858853e-11,6.964443042960646e-15,1.7131712846358868e-18
1949,7.883479530954413e-08,1.5099680888110262e-11,6.6970866562596515e-15,1.6632272609331872e-18
1950,9.192017899687422e-08,1.6408219256843504e-11,7.688923722939988e-15,1.8485092905818757e-18
1978,8.91718474266589e-08,1.6133386099821914e-11,7.480607544522782e-15,1.8095943864686623e-18
1979,7.554189417278833e-08,1.4770390774434652e-11,6.447493561980689e-15,1.6166015432141638e-18
1981,7.653893799074102e-08,1.4870095156229918e-11,6.5230668152669074e-15,1.6307191500534508e-18
1983,8.177478850322619e-08,1.5393680207478523e-11,6.919930272844247e-15,1.7048559910564127e-18
1986,7.339091555895954e-08,1.455529291305176e-11,6.284455139125902e-15,1.586144837257044e-18
1989,9.772082208266974e-08,1.6988283565423113e-11,8.128596946174991e-15,1.9306432921430585e-18
1990,5.419441241830153e-08,1.263564259899183e-11,4.8294115713988494e-15,1.3143326268523123e-18
1993,6.834926637428412e-08,1.4051127994585383e-11,5.902311622509778e-15,1.5147577831185019e-18
2014,9.01788562518054e-08,1.6234086982336594e-11,7.556936118687677e-15,1.8238530924764928e-18
2017,8.269954361377117e-08,1.548615571853305e-11,6.9900242355553786e-15,1.7179500284880901e-18
2022,8.303710582043672e-08,1.5519911939199607e-11,7.015610547495583e-15,1.7227297286694644e-18
2081,9.058254963148639e-08,1.6274456320304692e-11,7.587534996573748e-15,1.829569174674026e-18
2082,9.114646529997855e-08,1.6330847887153926e-11,7.6302782951928e-15,1.8375539187293404e-18
2083,9.003434541917947e-08,1.6219635899073997e-11,7.545982584289291e-15,1.821806896429442e-18
2084,9.032654885792704e-08,1.6248856242948756e-11,7.568130823002525e-15,1.8259443407333404e-18
2092,7.209460319226384e-08,1.4425661676382178e-11,6.186198130695206e-15,1.5677897479376054e-18
2094,7.75615646580305e-08,1.497235782295888e-11,6.600579180072499e-15,1.6451989963472757e-18
2097,9.994660554955918e-08,1.7210861912112097e-11,8.297305376712077e-15,1.962159194783578e-18
