,drug,drug,value,persentage,value,persentage,personalized_weight_pagerank,Drug-protein-expression fit score
0,5282330.0,2361.0,0.44344013315217634,54.1154104287757,0.3759939793097677,45.88458957122432,0.819434112461944,9.146349647572475
0,5282330.0,128919.0,0.4264364499265046,52.04116792776345,0.39298491763086124,47.95883207223655,0.8194213675573658,9.183037122607292
0,5282330.0,11790.0,0.4380581349287639,53.47264662566257,0.3811609659984963,46.52735337433742,0.8192191009272602,9.261564542996737
0,128919.0,11790.0,0.4201552307965617,51.34526713204538,0.39813875083964695,48.65473286795462,0.8182939816362087,9.248752824525207
0,128919.0,9842945.0,0.41888063693157246,51.19686930123296,0.39929563565837023,48.80313069876704,0.8181762725899426,9.119504387762902
0,128919.0,2361.0,0.42480184121258624,51.93671924917358,0.3931201364436087,48.06328075082642,0.817921977656195,9.118528488142903
0,128919.0,24882195.0,0.4211821551656452,51.497204334869444,0.39669167042464454,48.502795665130556,0.8178738255902898,9.164630724897574
0,5282330.0,24882195.0,0.4376707663901425,53.51625265850822,0.38015698620486266,46.48374734149178,0.8178277525950052,9.18508328103631
0,5282330.0,9842945.0,0.4349809268937261,53.19343509773774,0.3827533030812532,46.80656490226226,0.8177342299749792,9.145253968868355
0,9842945.0,11790.0,0.4096633513799131,50.14752361196143,0.40725306217993446,49.85247638803857,0.8169164135598476,9.208938652810655
0,128919.0,25019940.0,0.412528243893866,50.50343823664571,0.4043037546739705,49.4965617633543,0.8168319985678365,9.052987556269334
0,25019940.0,2361.0,0.4213168638513859,51.59367666446818,0.39528875739820557,48.406323335531816,0.8166056212495915,9.004203379003123
0,25019940.0,11790.0,0.4159301840498754,50.938100486855475,0.40061024457723005,49.06189951314453,0.8165404286271054,9.135349187265959
0,9842945.0,2361.0,0.41430706764978464,50.74096052802015,0.40220697413899104,49.25903947197984,0.8165140417887757,9.07164846722283
0,11790.0,24882195.0,0.40950145758012124,50.1535841206791,0.40699344454847347,49.8464158793209,0.8164949021285948,9.256306545688508
0,128919.0,53472683.0,0.41414559074853924,50.72338675574923,0.4023329948451131,49.276613244250775,0.8164785855936523,9.13276351285332
0,9842945.0,24882195.0,0.4106694807452162,50.30043720225358,0.40576374247698116,49.699562797746424,0.8164332232221974,9.120968382554533
0,11790.0,2361.0,0.4129754770076823,50.58671329632093,0.40339595750043233,49.41328670367908,0.8163714345081146,9.212015201420217
0,53472683.0,2361.0,0.41934172549315446,51.37809014705493,0.39684611701502376,48.62190985294508,0.8161878425081782,9.091802244906864
0,24882195.0,2361.0,0.4116267159768519,50.439181145389796,0.40445853090760325,49.5608188546102,0.8160852468844552,9.121754044113484
0,128919.0,8223.0,0.41803945851976704,51.22506776618179,0.398044300369376,48.77493223381822,0.816083758889143,9.043008089331101
0,128919.0,46215462.0,0.4168903226348609,51.08451108033391,0.3991893731838427,48.91548891966609,0.8160796958187035,9.176109533093166
0,53472683.0,11790.0,0.41392999028489647,50.72216955504664,0.40214312708378325,49.27783044495336,0.8160731173686797,9.218252108840638
0,128919.0,25154249.0,0.41700281192497846,51.099997064370704,0.39904970447669513,48.900002935629296,0.8160525164016736,9.166633949754154
0,128919.0,104903.0,0.41856866668379455,51.29983330104957,0.39735731153031173,48.70016669895043,0.8159259782141063,9.109934354175847
0,128919.0,656932.0,0.4185290111959782,51.29877068408037,0.3973365653369523,48.70122931591963,0.8158655765329305,9.098325561677225
0,128919.0,10531.0,0.4196879433394035,51.44299210999412,0.3961431856937547,48.557007890005885,0.8158311290331581,9.078985482299048
0,128919.0,15991573.0,0.4185906547801716,51.30909024239925,0.39723097215304054,48.69090975760074,0.8158216269332121,9.17770286695905
0,128919.0,89670174.0,0.41906743303676686,51.368054573737254,0.3967458900767423,48.631945426262746,0.8158133231135092,9.145825817850776
0,46215462.0,2361.0,0.41620601306581895,51.01789074000534,0.39959802553480817,48.98210925999465,0.8158040386006271,9.136394149005108
0,8223.0,2361.0,0.41502385237109146,50.873357725125196,0.40077418206083015,49.12664227487481,0.8157980344319216,8.992736591707411
0,128919.0,25171648.0,0.41971729799727914,51.44994284994418,0.39606066937850865,48.550057150055814,0.8157779673757878,9.097402664401324
0,25154249.0,2361.0,0.41608472660800605,51.00569540704104,0.39967657864922607,48.99430459295896,0.8157613052572321,9.126181715209228
0,11790.0,8223.0,0.4060831051135728,49.78197148120416,0.40964012365990965,50.21802851879584,0.8157232287734825,9.127721373199252
0,128919.0,6918296.0,0.42010344005908257,51.50109419526338,0.39561406385701875,48.498905804736616,0.8157175039161013,9.081745535266542
0,128919.0,11635763.0,0.42018327556142665,51.511303763810396,0.3955275390746206,48.48869623618961,0.8157108146360472,9.133760499806375
0,11790.0,25154249.0,0.4049857099329226,49.65066926797876,0.41068448324634704,50.349330732021244,0.8156701931792696,9.25296286392473
0,46215462.0,11790.0,0.410792131079302,50.36350397671753,0.4048622587923925,49.63649602328246,0.8156543898716946,9.263365745093358
0,104903.0,2361.0,0.41435014401052095,50.802013014539014,0.4012674258915579,49.19798698546098,0.8156175699020789,9.065314878512556
0,128919.0,11567682.0,0.42047452519552886,51.55304161508383,0.3951408333219458,48.44695838491618,0.8156153585174746,9.098762969306085
0,10531.0,2361.0,0.4131269284093325,50.657239041810215,0.402406914776152,49.34276095818979,0.8155338431854845,9.030838484994593
0,15991573.0,2361.0,0.4142636850926507,50.79759065742242,0.40125468837989026,49.20240934257758,0.815518373472541,9.13782988308451
0,11790.0,104903.0,0.40656630726632714,49.85414797109683,0.4089451873881112,50.145852028903164,0.8155114946544384,9.196122586854878
