urls,simple_pagerank,personalized_pagerank,nstart_pagerank,weighted_pagerank,weighted_personalized_pagerank
CIRP1,0.07290153096854582,0.0901899687998599,0.07290188346640267,0.0745491304535302,0.09232800734859684
CIRP2,0.07290153096854582,0.0901899687998599,0.07290188346640267,0.06879533211079877,0.08714340065814088
NQO1,0.07290153096854582,0.08757482533226987,0.07290188346640267,0.06021071487442432,0.07676450907531941
TXNIP,0.07290153096854582,0.07957439529174203,0.07290188346640267,0.06083510087014825,0.06932115340861134
RBM3,0.07290153096854582,0.07391686821565654,0.07290188346640267,0.06092308973722832,0.06378942584809105
SLC5A3,0.07290153096854582,0.06889270708816264,0.07290188346640267,0.02816183053424163,0.028298303408748938
5282330,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,9.061967573139493e-05,9.137601732817752e-05
128919,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.689351629859215e-05,8.554464817598331e-05
25019940,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.468937856286331e-05,8.395295690448051e-05
53472683,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.395339250698214e-05,8.31006622008837e-05
46215462,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.405768309872059e-05,8.289447593112956e-05
9842945,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.46714167317684e-05,8.266246993293778e-05
25154249,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.374371984513826e-05,8.258923657552747e-05
11790,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.459734639472243e-05,8.243982967683703e-05
8223,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.353422242085513e-05,8.236214207030079e-05
15991573,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.353367763556858e-05,8.222948787481973e-05
656932,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.332372652577246e-05,8.209133216070385e-05
104903,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.311514990035499e-05,8.189568529604456e-05
89670174,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.311509531519563e-05,8.181634972308674e-05
11567682,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.321946844280202e-05,8.17565196699934e-05
10531,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.301077591871576e-05,8.170851416515851e-05
25171648,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.301067888102536e-05,8.166725559268236e-05
24882195,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.362880304762917e-05,8.147923219960542e-05
11635763,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.269712919476007e-05,8.135870334272784e-05
6918296,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.269701022311208e-05,8.134675175135733e-05
2361,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.38793557555062e-05,8.134159066125334e-05
107715,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.238295991357423e-05,8.087422273629105e-05
42636651,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.206999005117837e-05,8.075841736317984e-05
11659487,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.37237949183323e-05,8.075401402594281e-05
56649297,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.227908329613383e-05,8.06715077294281e-05
121301049,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.217461558490564e-05,8.066055506237439e-05
23649154,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.217469035104273e-05,8.065539677071819e-05
447767,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.196614419439183e-05,8.048272146605387e-05
156419,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.375866360482255e-05,8.048153121840782e-05
644241,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.217458134066865e-05,8.04629265669591e-05
135565709,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.207008277980236e-05,8.043655499431593e-05
11977753,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.206990641833757e-05,8.043566476261572e-05
16678941,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.206982802290017e-05,8.037174241005004e-05
2605,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.196574446207157e-05,8.030553133194609e-05
25141092,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.186137808983018e-05,8.025662192383727e-05
42639643,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.196516951042682e-05,8.024563390767097e-05
9917862,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.186154068063597e-05,8.01927679028286e-05
151171,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.186122332652376e-05,8.000650501910467e-05
25151352,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.26089699976145e-05,7.99240806593551e-05
11952989,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.1756450011155e-05,7.987480638350412e-05
60164,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.154906313027096e-05,7.985714783864259e-05
6450806,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.196421304230285e-05,7.983692734328006e-05
16750097,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.154977195758511e-05,7.979728006626268e-05
4369379,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.154890746544719e-05,7.974895125170837e-05
9887303,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.144484647215249e-05,7.972882948563524e-05
46848036,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.154921091730116e-05,7.97127517950617e-05
24832041,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.239725489698797e-05,7.962315648382233e-05
172997,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.14448767682682e-05,7.952953343936583e-05
204109,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.194874261372969e-05,7.952585939203359e-05
23653789,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.144429637885766e-05,7.950956868977169e-05
92169693,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.252657730646168e-05,7.949762209845724e-05
17753965,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.254604289104128e-05,7.94524019086439e-05
24737629,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.144480580593897e-05,7.94381998550668e-05
61791,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.134031309828333e-05,7.938605045339206e-05
25049750,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.123713679145596e-05,7.93853610177141e-05
208951,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.134047874504392e-05,7.937583206742134e-05
11950726,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.123716135722826e-05,7.929865709561701e-05
24941262,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.2780253152928e-05,7.925540348146326e-05
6918388,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.205866584337865e-05,7.925382134942236e-05
24875319,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.25812313951563e-05,7.924414249916083e-05
11987804,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.123733615573763e-05,7.92028585846967e-05
11656518,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.123677697653524e-05,7.918953844812547e-05
25066467,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.102912262068417e-05,7.918253235568024e-05
25267262,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.23183588647723e-05,7.910927987793641e-05
45268539,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.123618675379303e-05,7.907799457164335e-05
57519700,6.174174870374758e-05,5.593297481042395e-05,6.174151659367453e-05,8.113285983375753e-05,7.906133577364886e-05
